DefensiveID,Player ID,Player Name,Tackles,Sacks,Ints,TDs,TFLs,GamesPlayed
114,114,John Smith,656,12,17,1,61,140
115,115,Brian Martin,0,0,0,0,0,210
116,116,Justin Martinez,0,0,0,0,0,191
117,117,Daniel Hernandez,391,6,28,1,77,137
118,118,Anthony Smith,0,0,0,0,0,180
119,119,Brandon Moore,575,11,31,0,45,127
120,120,Mark Jackson,0,0,0,0,0,172
121,121,Jason Davis,0,0,0,0,0,33
122,122,Kevin Miller,289,31,0,1,87,136
123,123,Ryan Thomas,0,0,0,0,0,109
124,124,Justin Taylor,0,0,0,0,0,177
125,125,John Brown,0,0,0,0,0,206
126,126,Ryan Garcia,297,4,17,0,31,47
127,127,John Davis,908,49,1,2,322,183
128,128,Robert Martinez,0,0,0,0,0,286
129,129,Eric Brown,0,0,0,0,0,64
130,130,Anthony Rodriguez,0,0,0,0,0,187
131,131,Joshua Jones,50,15,2,0,8,19
132,132,Jason Brown,0,0,0,0,0,95
133,133,David Anderson,137,102,0,3,36,103
134,134,Robert Anderson,915,27,11,3,162,167
135,135,Brian Hernandez,889,12,14,7,79,127
136,136,William Jackson,545,18,7,2,38,95
137,137,Daniel Rodriguez,0,0,0,0,0,181
138,138,John Miller,0,0,0,0,0,52
139,139,Andrew Martinez,0,0,0,0,0,106
140,140,John Gonzalez,0,0,0,0,0,91
141,141,Michael Jackson,41,1,1,0,2,7
142,142,Daniel Lopez,195,22,25,7,19,119
143,143,Joshua Moore,348,48,0,3,85,160
144,144,Brian Jackson,0,0,0,0,0,173
145,145,Michael Miller,0,0,0,0,0,127
146,146,Anthony Williams,680,27,14,2,54,138
147,147,Brandon Anderson,415,59,1,0,104,149
148,148,Eric Garcia,180,18,20,1,7,107
149,149,Chris Jackson,769,22,19,0,33,111
150,150,Jason Martinez,147,29,1,1,39,41
151,151,Paul Martinez,0,0,0,0,0,131
152,152,Eric Lopez,459,6,24,0,42,74
153,153,Mark Thomas,92,7,3,0,33,17
154,154,Brandon Smith,0,0,0,0,0,70
155,155,Justin Thomas,85,2,10,0,34,53
156,156,David Thomas,125,3,6,0,20,37
157,157,Chris Brown,1023,137,3,2,268,195
158,158,Chris Gonzalez,0,0,0,0,0,60
159,159,Ryan Lopez,106,4,5,0,5,27
160,160,Brandon Gonzalez,0,0,0,0,0,131
161,161,Eric Taylor,0,0,0,0,0,182
162,162,David Jackson,216,33,0,2,65,129
163,163,Brian Lopez,0,0,0,0,0,56
164,164,Justin Garcia,0,0,0,0,0,185
165,165,Ryan Brown,0,0,0,0,0,71
166,166,Mark Martin,0,0,0,0,0,284
167,167,Michael Garcia,0,0,0,0,0,65
168,168,Kevin Garcia,658,9,30,5,79,131
169,169,William Taylor,0,0,0,0,0,38
170,170,Anthony Moore,35,6,3,0,14,29
171,171,Michael Davis,580,8,27,9,45,108
172,172,Eric Taylor,329,18,16,8,18,158
173,173,Chris Moore,0,0,0,0,0,182
174,174,Jason Moore,0,0,0,0,0,49
175,175,Brian Johnson,0,0,0,0,0,181
176,176,David Anderson,490,68,2,3,170,145
177,177,Joshua Williams,0,0,0,0,0,84
178,178,Joshua Gonzalez,0,0,0,0,0,36
179,179,Kevin Taylor,0,0,0,0,0,9
180,180,Jason Gonzalez,0,0,0,0,0,201
181,181,Ryan Wilson,0,0,0,0,0,159
182,182,William Miller,1115,12,58,1,30,173
183,183,Robert Smith,0,0,0,0,0,29
184,184,Jason Jones,0,0,0,0,0,19
185,185,Chris Williams,0,0,0,0,0,99
186,186,Jason Garcia,0,0,0,0,0,86
187,187,Jason Johnson,0,0,0,0,0,49
188,188,Justin Thomas,0,0,0,0,0,60
189,189,Mark Thomas,0,0,0,0,0,254
190,190,Brian Jones,0,0,0,0,0,88
191,191,Michael Taylor,0,0,0,0,0,15
192,192,Joshua Moore,0,0,0,0,0,104
193,193,Chris Jackson,0,0,0,0,0,160
194,194,Daniel Rodriguez,0,0,0,0,0,135
195,195,Andrew Gonzalez,0,0,0,0,0,213
196,196,Mark Thomas,127,2,3,0,9,15
197,197,Robert Martinez,80,12,3,0,23,19
198,198,Joshua Smith,1024,17,25,7,154,212
199,199,William Martinez,0,0,0,0,0,60
200,200,Chris Jackson,0,0,0,0,0,114
201,201,Andrew Martin,0,0,0,0,0,191
202,202,David Jackson,0,0,0,0,0,42
203,203,Robert Johnson,0,0,0,0,0,30
204,204,Chris Taylor,0,0,0,0,0,188
205,205,Paul Lopez,0,0,0,0,0,79
206,206,Jason Hernandez,0,0,0,0,0,96
207,207,Justin Gonzalez,0,0,0,0,0,171
208,208,Andrew Garcia,0,0,0,0,0,223
209,209,Kevin Smith,310,5,11,1,19,50
210,210,Justin Moore,992,5,51,3,84,175
211,211,Eric Anderson,0,0,0,0,0,89
212,212,Anthony Martin,0,0,0,0,0,12
213,213,Robert Jackson,0,0,0,0,0,51
214,214,Kevin Martin,318,7,7,1,31,74
215,215,Michael Jones,0,0,0,0,0,220
216,216,Daniel Martinez,0,0,0,0,0,37
217,217,Joshua Wilson,1604,44,36,3,205,209
218,218,Andrew Smith,682,28,36,5,29,185
219,219,Brandon Jackson,0,0,0,0,0,186
220,220,Brandon Johnson,0,0,0,0,0,211
221,221,Anthony Jackson,422,34,0,1,80,74
222,222,Mark Jackson,0,0,0,0,0,184
223,223,Kevin Jackson,864,172,1,4,168,172
224,224,Mark Davis,0,0,0,0,0,88
225,225,Ryan Garcia,397,76,2,3,71,107
226,226,John Moore,82,1,20,1,23,58
227,227,Justin Lopez,0,0,0,0,0,142
228,228,John Wilson,481,0,39,1,51,117
229,229,Brian Moore,824,18,32,2,79,143
230,230,Ryan Miller,0,0,0,0,0,66
231,231,Justin Williams,0,0,0,0,0,90
232,232,David Wilson,0,0,0,0,0,99
233,233,Anthony Jackson,435,11,23,7,77,186
234,234,Anthony Martin,570,120,3,5,228,156
235,235,Eric Williams,0,0,0,0,0,186
236,236,Michael Williams,0,0,0,0,0,59
237,237,Jason Taylor,0,0,0,0,0,176
238,238,Kevin Anderson,354,9,17,1,18,126
239,239,Kevin Johnson,0,0,0,0,0,72
240,240,Michael Hernandez,967,17,32,6,67,144
241,241,Brandon Martinez,276,0,23,1,59,144
242,242,Eric Brown,0,0,0,0,0,82
243,243,Mark Garcia,0,0,0,0,0,35
244,244,Chris Gonzalez,0,0,0,0,0,107
245,245,John Thomas,0,0,0,0,0,134
246,246,Justin Garcia,0,0,0,0,0,64
247,247,John Moore,0,0,0,0,0,88
248,248,Ryan Martin,0,0,0,0,0,93
249,249,Jason Martinez,345,6,49,0,53,178
250,250,Ryan Gonzalez,0,0,0,0,0,23
251,251,Paul Gonzalez,0,0,0,0,0,99
252,252,Robert Jackson,0,0,0,0,0,139
253,253,Anthony Garcia,0,0,0,0,0,78
254,254,Brian Johnson,291,2,21,0,12,62
255,255,Eric Jones,0,0,0,0,0,61
256,256,William Hernandez,881,5,36,4,48,148
257,257,Anthony Martinez,792,26,35,15,50,188
258,258,Daniel Taylor,0,0,0,0,0,130
259,259,Ryan Jackson,13,3,0,0,5,8
260,260,Eric Miller,0,0,0,0,0,32
261,261,Michael Rodriguez,1121,19,16,1,97,136
262,262,Ryan Hernandez,0,0,0,0,0,15
263,263,William Miller,570,11,47,2,67,185
264,264,John Taylor,0,0,0,0,0,162
265,265,Joshua Lopez,0,0,0,0,0,253
266,266,David Miller,0,0,0,0,0,52
267,267,William Thomas,0,0,0,0,0,87
268,268,William Wilson,0,0,0,0,0,190
269,269,Paul Wilson,84,0,18,1,30,46
270,270,Daniel Johnson,0,0,0,0,0,18
271,271,Mark Martin,0,0,0,0,0,74
272,272,Mark Rodriguez,0,0,0,0,0,113
273,273,Anthony Lopez,0,0,0,0,0,117
274,274,Michael Hernandez,0,0,0,0,0,164
275,275,Brian Jones,0,0,0,0,0,102
276,276,Ryan Brown,898,17,31,13,45,164
277,277,Justin Martinez,840,16,20,1,82,131
278,278,David Davis,0,0,0,0,0,175
279,279,Mark Jones,1443,43,25,6,117,181
280,280,Justin Miller,1306,19,25,7,152,150
281,281,Justin Martinez,0,0,0,0,0,53
282,282,William Gonzalez,0,0,0,0,0,158
283,283,John Taylor,574,18,15,1,23,66
284,284,Mark Johnson,0,0,0,0,0,173
285,285,Andrew Brown,0,0,0,0,0,37
286,286,Brian Miller,250,13,52,0,63,135
287,287,Kevin Johnson,659,103,1,1,213,176
288,288,Eric Jones,338,13,0,2,59,59
289,289,William Martin,103,17,2,0,28,37
290,290,Mark Martinez,469,10,21,3,49,155
291,291,Jason Jones,0,0,0,0,0,103
292,292,Justin Rodriguez,273,3,15,0,16,47
293,293,John Johnson,0,0,0,0,0,223
294,294,Brian Rodriguez,384,8,13,0,75,147
295,295,Jason Rodriguez,1190,38,47,10,58,193
296,296,Joshua Williams,0,0,0,0,0,59
297,297,Robert Miller,0,0,0,0,0,98
298,298,Ryan Rodriguez,0,0,0,0,0,151
299,299,James Smith,505,0,57,5,63,157
300,300,Paul Martin,385,12,5,4,29,69
301,301,Kevin Garcia,0,0,0,0,0,107
302,302,John Hernandez,0,0,0,0,0,114
303,303,Daniel Jackson,20,1,2,0,3,13
304,304,Andrew Jackson,0,0,0,0,0,179
305,305,Brian Taylor,0,0,0,0,0,220
306,306,Brandon Smith,347,1,16,0,28,62
307,307,Kevin Williams,494,8,25,1,30,105
308,308,William Rodriguez,0,0,0,0,0,37
309,309,Jason Hernandez,1428,37,38,2,228,187
310,310,Michael Jackson,0,0,0,0,0,100
311,311,Andrew Brown,561,10,20,5,24,87
312,312,Kevin Thomas,0,0,0,0,0,159
313,313,Paul Taylor,0,0,0,0,0,187
314,314,Brian Miller,0,0,0,0,0,199
315,315,Andrew Rodriguez,285,6,7,0,11,63
316,316,Chris Moore,926,15,38,2,81,182
317,317,Michael Smith,0,0,0,0,0,35
318,318,Chris Miller,0,0,0,0,0,175
319,319,Daniel Thomas,0,0,0,0,0,67
320,320,Justin Rodriguez,0,0,0,0,0,202
321,321,Robert Smith,0,0,0,0,0,29
322,322,Brian Rodriguez,0,0,0,0,0,112
323,323,Andrew Gonzalez,0,0,0,0,0,171
324,324,John Garcia,212,1,5,0,17,31
325,325,James Hernandez,0,0,0,0,0,32
326,326,Chris Taylor,1393,38,40,7,60,175
327,327,Kevin Brown,0,0,0,0,0,245
328,328,Robert Johnson,0,0,0,0,0,185
329,329,Robert Martinez,0,0,0,0,0,26
330,330,John Taylor,0,0,0,0,0,216
331,331,David Martin,0,0,0,0,0,119
332,332,Joshua Gonzalez,0,0,0,0,0,191
333,333,Brandon Davis,0,0,0,0,0,60
334,334,Ryan Lopez,0,0,0,0,0,26
335,335,Brian Williams,0,0,0,0,0,71
336,336,David Moore,0,0,0,0,0,30
337,337,Jason Martinez,102,3,6,0,30,46
338,338,Andrew Garcia,1145,29,14,10,219,184
339,339,Eric Gonzalez,0,0,0,0,0,214
340,340,Michael Johnson,427,19,78,2,129,199
341,341,David Jones,0,0,0,0,0,47
342,342,Jason Moore,0,0,0,0,0,52
343,343,Kevin Jones,0,0,0,0,0,211
344,344,James Rodriguez,979,32,37,15,70,196
345,345,Kevin Wilson,573,6,22,3,14,83
346,346,Chris Hernandez,0,0,0,0,0,214
347,347,Justin Jones,0,0,0,0,0,197
348,348,Mark Smith,681,18,20,2,52,163
349,349,Brian Lopez,374,8,24,0,30,186
350,350,Kevin Garcia,0,0,0,0,0,10
351,351,Michael Garcia,0,0,0,0,0,19
352,352,Michael Davis,0,0,0,0,0,220
353,353,Chris Jackson,420,30,36,5,41,159
354,354,Michael Garcia,0,0,0,0,0,51
355,355,Daniel Wilson,173,76,0,0,54,102
356,356,Joshua Gonzalez,0,0,0,0,0,50
357,357,John Anderson,1060,22,41,11,49,190
358,358,Brian Rodriguez,0,0,0,0,0,210
359,359,Jason Hernandez,0,0,0,0,0,175
360,360,Michael Lopez,0,0,0,0,0,207
361,361,Kevin Wilson,448,7,13,4,88,91
362,362,Anthony Moore,0,0,0,0,0,212
363,363,Chris Johnson,0,0,0,0,0,221
364,364,Robert Taylor,0,0,0,0,0,209
365,365,Anthony Jones,70,1,3,0,14,13
366,366,Brian Gonzalez,143,2,8,0,7,25
367,367,Eric Davis,411,8,33,3,49,135
368,368,Brandon Lopez,110,48,2,0,44,87
369,369,Joshua Gonzalez,0,0,0,0,0,173
370,370,Paul Johnson,121,7,6,0,12,47
371,371,Chris Gonzalez,0,0,0,0,0,209
372,372,Eric Hernandez,0,0,0,0,0,143
373,373,Joshua Jackson,0,0,0,0,0,152
374,374,William Taylor,0,0,0,0,0,13
375,375,Ryan Martin,0,0,0,0,0,159
376,376,Ryan Rodriguez,596,9,24,4,41,189
377,377,Jason Martinez,0,0,0,0,0,50
378,378,David Wilson,0,0,0,0,0,172
379,379,John Williams,0,0,0,0,0,112
380,380,Mark Martin,277,77,0,2,82,78
381,381,Chris Moore,157,9,21,3,12,125
382,382,Ryan Jackson,0,0,0,0,0,155
383,383,Ryan Taylor,287,46,3,6,31,158
384,384,Kevin Garcia,0,0,0,0,0,223
385,385,John Johnson,335,4,18,2,23,59
386,386,John Jones,0,0,0,0,0,299
387,387,David Lopez,0,0,0,0,0,97
388,388,Mark Jones,483,8,34,1,72,186
389,389,Ryan Anderson,0,0,0,0,0,42
390,390,Robert Anderson,0,0,0,0,0,220
391,391,Michael Martin,0,0,0,0,0,210
392,392,Chris Gonzalez,0,0,0,0,0,18
393,393,John Gonzalez,0,0,0,0,0,19
394,394,Joshua Thomas,0,0,0,0,0,221
395,395,Andrew Martin,0,0,0,0,0,211
396,396,James Davis,0,0,0,0,0,136
397,397,William Moore,0,0,0,0,0,217
398,398,Brian Jones,0,0,0,0,0,151
399,399,Robert Williams,0,0,0,0,0,70
400,400,David Gonzalez,246,8,25,2,9,106
401,401,Kevin Rodriguez,816,25,13,5,136,157
402,402,Michael Anderson,0,0,0,0,0,9
403,403,Robert Smith,0,0,0,0,0,126
404,404,Kevin Rodriguez,981,28,33,6,39,188
405,405,Ryan Martinez,0,0,0,0,0,145
406,406,Anthony Davis,0,0,0,0,0,162
407,407,Kevin Smith,0,0,0,0,0,52
408,408,James Jones,0,0,0,0,0,225
409,409,Robert Taylor,319,3,29,1,20,79
410,410,Eric Martinez,0,0,0,0,0,187
411,411,Brandon Garcia,0,0,0,0,0,15
412,412,John Jackson,0,0,0,0,0,96
413,413,Mark Smith,0,0,0,0,0,63
414,414,Chris Rodriguez,0,0,0,0,0,96
415,415,Andrew Jones,0,0,0,0,0,24
416,416,Justin Jackson,265,7,17,3,60,103
417,417,Anthony Thomas,0,0,0,0,0,135
418,418,Daniel Garcia,0,0,0,0,0,138
419,419,Mark Miller,0,0,0,0,0,183
420,420,Paul Taylor,0,0,0,0,0,28
421,421,Jason Smith,608,4,45,4,19,142
422,422,Daniel Smith,0,0,0,0,0,180
423,423,Paul Wilson,0,0,0,0,0,129
424,424,Jason Taylor,935,22,22,0,158,129
425,425,Brandon Williams,0,0,0,0,0,33
426,426,Michael Jones,0,0,0,0,0,89
427,427,Justin Gonzalez,0,0,0,0,0,173
428,428,Mark Jackson,372,8,47,7,44,198
429,429,Brandon Gonzalez,430,9,5,1,67,58
430,430,David Garcia,0,0,0,0,0,18
431,431,Daniel Gonzalez,0,0,0,0,0,86
432,432,Eric Williams,0,0,0,0,0,214
433,433,Brian Gonzalez,0,0,0,0,0,94
434,434,Robert Lopez,186,72,3,5,44,127
435,435,Ryan Gonzalez,0,0,0,0,0,185
436,436,Robert Moore,558,22,18,4,41,127
437,437,Eric Lopez,282,80,3,4,79,122
438,438,Michael Hernandez,0,0,0,0,0,262
439,439,William Rodriguez,0,0,0,0,0,13
440,440,Jason Rodriguez,0,0,0,0,0,61
441,441,Brian Gonzalez,0,0,0,0,0,178
442,442,David Martin,905,0,37,4,23,191
443,443,Brandon Davis,0,0,0,0,0,201
444,444,Mark Garcia,1132,14,63,3,65,179
445,445,Mark Anderson,404,8,15,3,31,72
446,446,Chris Hernandez,0,0,0,0,0,85
447,447,Michael Gonzalez,655,19,15,3,48,112
448,448,Mark Thomas,0,0,0,0,0,86
449,449,David Lopez,0,0,0,0,0,173
450,450,Joshua Jackson,164,1,10,1,28,51
451,451,Jason Davis,22,5,1,0,8,17
452,452,Brian Miller,0,0,0,0,0,172
453,453,William Davis,905,117,3,4,111,187
454,454,James Miller,195,5,10,3,10,46
455,455,Kevin Wilson,417,29,1,1,60,83
456,456,Justin Jones,0,0,0,0,0,133
457,457,Paul Rodriguez,0,0,0,0,0,78
458,458,Joshua Jackson,0,0,0,0,0,213
459,459,Andrew Johnson,0,0,0,0,0,96
460,460,Eric Hernandez,0,0,0,0,0,25
461,461,Brandon Miller,0,0,0,0,0,67
462,462,Paul Miller,0,0,0,0,0,157
463,463,Joshua Davis,0,0,0,0,0,198
464,464,John Garcia,0,0,0,0,0,27
465,465,Eric Hernandez,780,35,53,12,33,225
466,466,Joshua Johnson,0,0,0,0,0,113
467,467,Kevin Moore,357,16,23,3,132,200
468,468,Ryan Brown,0,0,0,0,0,79
469,469,Anthony Anderson,623,4,15,2,30,123
470,470,Paul Moore,0,0,0,0,0,198
471,471,Mark Gonzalez,729,102,0,3,270,152
472,472,Daniel Taylor,0,0,0,0,0,51
473,473,Jason Moore,0,0,0,0,0,118
474,474,Robert Taylor,1096,25,22,8,60,176
475,475,Anthony Anderson,88,5,3,0,7,28
476,476,Paul Miller,106,47,3,2,37,54
477,477,Justin Jones,0,0,0,0,0,123
478,478,William Jones,0,0,0,0,0,211
479,479,Andrew Martinez,0,0,0,0,0,221
480,480,Brian Miller,78,2,8,1,5,25
481,481,James Jackson,0,0,0,0,0,15
482,482,Mark Taylor,0,0,0,0,0,129
483,483,John Thomas,135,24,23,2,8,124
484,484,Justin Davis,0,0,0,0,0,136
485,485,Justin Miller,0,0,0,0,0,78
486,486,James Martinez,0,0,0,0,0,138
487,487,Robert Rodriguez,0,0,0,0,0,212
488,488,Jason Garcia,0,0,0,0,0,212
489,489,Ryan Anderson,0,0,0,0,0,212
490,490,Paul Gonzalez,0,0,0,0,0,206
491,491,John Thomas,0,0,0,0,0,221
492,492,Justin Garcia,307,39,53,1,25,219
493,493,Kevin Rodriguez,168,9,7,1,12,59
494,494,Kevin Martin,737,21,12,8,59,109
495,495,Andrew Williams,381,12,5,3,39,78
496,496,Brandon Anderson,0,0,0,0,0,217
497,497,Joshua Jackson,0,0,0,0,0,86
498,498,Robert Brown,0,0,0,0,0,83
499,499,Joshua Anderson,279,77,0,2,41,78
500,500,Daniel Martinez,0,0,0,0,0,63
501,501,David Wilson,133,16,13,4,13,107
502,502,Joshua Rodriguez,0,0,0,0,0,96
503,503,Chris Davis,484,13,16,0,77,106
504,504,James Lopez,395,24,0,1,120,82
505,505,Kevin Moore,642,11,32,6,54,129
506,506,Joshua Lopez,0,0,0,0,0,205
507,507,Mark Taylor,0,0,0,0,0,68
508,508,Paul Gonzalez,0,0,0,0,0,88
509,509,Jason Hernandez,158,18,2,0,23,67
510,510,Paul Thomas,0,0,0,0,0,172
511,511,Mark Jackson,0,0,0,0,0,17
512,512,Kevin Martin,475,172,2,1,171,184
513,513,Justin Jackson,221,0,20,5,76,143
514,514,James Rodriguez,0,0,0,0,0,78
515,515,Kevin Smith,335,6,5,1,30,49
516,516,Robert Johnson,0,0,0,0,0,110
517,517,Eric Hernandez,0,0,0,0,0,36
518,518,Joshua Davis,0,0,0,0,0,175
519,519,William Moore,0,0,0,0,0,103
520,520,Brandon Lopez,363,4,12,0,13,54
521,521,John Hernandez,0,0,0,0,0,34
522,522,Joshua Gonzalez,339,9,14,4,29,80
523,523,Brian Anderson,438,94,3,0,82,97
524,524,David Anderson,0,0,0,0,0,13
525,525,Robert Taylor,239,0,12,1,16,37
526,526,Brian Martin,0,0,0,0,0,245
527,527,Mark Jackson,0,0,0,0,0,34
528,528,Ryan Johnson,0,0,0,0,0,197
529,529,John Gonzalez,249,131,0,5,72,134
530,530,William Davis,761,30,28,9,52,160
531,531,Brandon Hernandez,0,0,0,0,0,53
532,532,Joshua Anderson,0,0,0,0,0,161
533,533,Paul Hernandez,0,0,0,0,0,104
534,534,Brian Anderson,0,0,0,0,0,217
535,535,Anthony Miller,0,0,0,0,0,121
536,536,Joshua Anderson,0,0,0,0,0,15
537,537,Kevin Jones,640,21,8,1,102,77
538,538,Kevin Wilson,0,0,0,0,0,152
539,539,Chris Martin,0,0,0,0,0,170
540,540,David Taylor,0,0,0,0,0,16
541,541,Joshua Anderson,0,0,0,0,0,62
542,542,Paul Anderson,0,0,0,0,0,132
543,543,Ryan Hernandez,176,11,0,1,30,31
544,544,Joshua Miller,0,0,0,0,0,148
545,545,Daniel Taylor,0,0,0,0,0,103
546,546,Paul Hernandez,230,7,11,0,25,51
547,547,David Lopez,169,96,3,1,58,126
548,548,Eric Taylor,0,0,0,0,0,168
549,549,Joshua Garcia,0,0,0,0,0,165
550,550,James Wilson,459,43,3,3,130,83
551,551,William Thomas,0,0,0,0,0,159
552,552,Jason Garcia,0,0,0,0,0,63
553,553,Anthony Williams,397,72,2,2,51,82
554,554,Brandon Williams,0,0,0,0,0,127
555,555,Eric Rodriguez,0,0,0,0,0,173
556,556,Kevin Jones,777,43,2,1,112,146
557,557,Kevin Rodriguez,0,0,0,0,0,79
558,558,Daniel Garcia,0,0,0,0,0,29
559,559,Ryan Rodriguez,0,0,0,0,0,190
560,560,Brian Brown,0,0,0,0,0,129
561,561,Mark Williams,0,0,0,0,0,97
562,562,James Rodriguez,525,35,2,0,84,156
563,563,David Anderson,0,0,0,0,0,176
564,564,Ryan Gonzalez,0,0,0,0,0,126
565,565,Paul Williams,101,11,12,1,7,92
566,566,Anthony Brown,0,0,0,0,0,201
567,567,James Gonzalez,0,0,0,0,0,161
568,568,Joshua Smith,0,0,0,0,0,35
569,569,Robert Hernandez,0,0,0,0,0,18
570,570,Andrew Miller,392,11,12,2,46,64
571,571,Mark Jackson,459,12,22,8,37,122
572,572,Robert Lopez,0,0,0,0,0,210
573,573,Chris Wilson,0,0,0,0,0,94
574,574,Justin Hernandez,0,0,0,0,0,46
575,575,Paul Miller,487,74,1,3,119,102
576,576,Paul Smith,0,0,0,0,0,210
577,577,Andrew Wilson,681,60,0,3,191,174
578,578,Chris Anderson,0,0,0,0,0,216
579,579,Kevin Thomas,0,0,0,0,0,148
